,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8110517596386858,0.8130821417105203,0.8135595691460851,0.8161518357286935,0.8244322471770411,0.8296420547908023,0.8497196126817614,0.8615689451230327,0.8661996338371948
2,0.8200076661812087,0.832765365644501,0.8397932753219269,0.848128839147597,0.8500684327644249,0.85035030859676,0.8611195196961653,0.8744633285523128,0.8747564574882257
3,0.824540377615837,0.840417183294235,0.8546467735874255,0.8669949821408073,0.8830453295434726,0.8856681294290958,0.8951889882760585,0.9037861391841716,0.9086698624025971
4,0.841485823913125,0.8520218535971329,0.861469614501282,0.8718961591912728,0.8952939649611092,0.9020656046241922,0.9119452750597424,0.9341251411743168,0.9341355284508692
5,0.8578079610944045,0.8754585317743379,0.8943884086362529,0.8996017363359008,0.9199125922210905,0.9314478368995116,0.9359997425925884,0.9408039421692654,0.9426426852791346
6,0.8696645938719982,0.9182806272916576,0.9233460267385584,0.9276831754875208,0.9280261322252564,0.939964254679128,0.9406210595214696,0.9435243644645928,0.9458557311774087
7,0.9078420492547083,0.9277812519815756,0.9308499974794456,0.9396698487458534,0.941582704277352,0.945678213298874,0.9477657229928216,0.9664928426932304,0.9677434075068115
8,0.944742090007862,0.9482513945298704,0.9487754903242984,0.9514971437555596,0.9563165443530872,0.9575118387774054,0.9578105629106338,0.9707253977823348,0.9731013097494965
9,0.9642451105269156,0.9691601277157672,0.9722692690113808,0.9729824799824665,0.9749148199395464,0.9755823854687832,0.9770125089592298,0.980105754653932,0.9823048979339665
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
